album_order,sticker_code,collection_group,section,subset,country_code,country_name,sticker_number,sticker_title,player_name,sticker_type,variant,region,album_required,track_in_mvp,is_foil,source,source_url,notes
1,00,main_album,fifa_world_cup_foil,main_checklist,,,,Panini Logo,,brand_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
2,FWC1,main_album,fifa_world_cup_foil,main_checklist,FWC,,1,Official Emblem,,official_emblem,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
3,FWC2,main_album,fifa_world_cup_foil,main_checklist,FWC,,2,Official Emblem,,official_emblem,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
4,FWC3,main_album,fifa_world_cup_foil,main_checklist,FWC,,3,Official Mascots,,official_mascots,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
5,FWC4,main_album,fifa_world_cup_foil,main_checklist,FWC,,4,Official Slogan,,official_slogan,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
6,FWC5,main_album,fifa_world_cup_foil,main_checklist,FWC,,5,Official Ball,,official_ball,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
7,FWC6,main_album,fifa_world_cup_foil,main_checklist,FWC,,6,Canada - Host Countries & Cities,,host_country_city,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
8,FWC7,main_album,fifa_world_cup_foil,main_checklist,FWC,,7,Mexico - Host Countries & Cities,,host_country_city,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
9,FWC8,main_album,fifa_world_cup_foil,main_checklist,FWC,,8,USA - Host Countries & Cities,,host_country_city,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Main album row based on Checklist Insider structure.
10,MEX1,main_album,team,main_checklist,MEX,Mexico,1,Team Logo,,team_logo,standard,global,TRUE,TRUE,True,Checklist Insider,https://www.checklistinsider.com/2026-panini-fifa-world-cup-sticker,Player names are not populated in this structural MVP CSV.
